 action_cable_car_status_development         | 6841 kB | -- in dropbox
 assignment_association_practice_development | 7369 kB |
 assignment_basic_auth_development           | 6641 kB |
 assignment_danebook_goes_live_development   | 6505 kB |
 assignment_devise_development               | 6721 kB |
 assignment_photos_emails_delays_development | 6705 kB |
 assignment_polymorphism_development         | 6761 kB |
 assignment_reformer_development             | 6641 kB |
 assignment_rspec_secrets_development        | 6689 kB |
 assignment_self_associations_development    | 6865 kB |
 assignment_viking_airlines_development      | 7577 kB |
 assignment_viking_store_development         | 7417 kB |
 aws_tdd_tester_development                  | 6697 kB |
 booknerd_development                        | 6521 kB |
 booktester_development                      | 6841 kB |
 brickleads_development                      | 7033 kB |
 cms_practice_development                    | 6505 kB |
 codemy_moviedb_development                  | 7025 kB |
 cognitive2_development                      | 6841 kB |
 critters                                    | 6713 kB |
 critters_development                        | 6801 kB |
 db/development                              | 6873 kB |
 db/project_viking_store/development         | 8041 kB |
 db/test                                     | 6665 kB |
 dbswitcher1_development                     | 6593 kB |
 dbswitcher2_development                     | 6649 kB |
 dbtester                                    | 6593 kB |
 dbtester_development                        | 6609 kB |
 devise_tester_development                   | 6649 kB |
 devise_user_shopper2_development            | 6697 kB |
 devise_user_shopper_development             | 6793 kB |
 dnd_tools_development                       | 7905 kB |
 double_form_submit_development              | 6761 kB |
 events3_development                         | 7161 kB |
 food_planner_development                    | 7131 kB | -- restored to new computer
 habtm_forty_facets_rails42_development      | 7153 kB |
 habtm_practice_development                  | 6761 kB |
 holistic_development                        | 6969 kB |
 holistic_practice_development               | 6929 kB |
 jquery_tester_development                   | 6569 kB |
 kalkomey_richardson_development             | 6793 kB |
 lemonade_development                        | 6657 kB |
 library_development                         | 7265 kB |
 localflavor                                 | 6619 kB |
 moviedb_development                         | 7209 kB |
 mvc-adventures_development                  | 6609 kB |
 nested_comments_development                 | 6809 kB |
 nested_form_practice_development            | 6865 kB |
 paramsabar_development                      | 6609 kB |
 pigs_scoresheet_development                 | 6745 kB |
 pmr2_development                            | 12 MB   |
 pmr_chewy_development                       | 8033 kB |
 pmr_devise_retrofit_development             | 7145 kB |
 postgres                                    | pg_default |
 practice_rails_migrations_development       | 6753 kB |
 product_pricing_development                 | 7083 kB |
 productmatch_development                    | 27 MB   |
 products2_development                       | 6721 kB |
 products_practice_development               | 6849 kB |
 project_danebook_development                | 7611 kB |
 project_dating_development                  | 7201 kB |
 project_surveyor_development                | 6993 kB |
 rails_api_development                       | 6793 kB |
 rails_api_integrator_development            | 6619 kB |
 re-former_development                       | 6609 kB |
 react_and_rails_5_development               | 6673 kB |
 react_development                           | 6505 kB |
 react_task_list_development                 | 6641 kB |
 reactbetter2_development                    | 6713 kB |
 restaurant_development                      | 6521 kB |
 restaurantapp_development                   | 7009 kB |
 reunion_development                         | 6913 kB |
 sean_project_surveyor_development           | 6825 kB |
 single_page_crud_development                | 6769 kB |
 snowmatchr_development                      | 23 MB   |
 sorrygirl_development                       | 6827 kB |
 stockaid_development                        | 8555 kB | -- in dropbox
 study_buddy_development                     | 6889 kB |
 survey_practice_development                 | 6841 kB |
 tarot_db_development                        | 7097 kB |
 tarot_development                           | 7603 kB | -- restored to new computer
 template0                                   | unmodifiable empty database | 
 template1                                   | localflavor |
 testdb                                      | 6505 kB |
 tmdb-moviequeue_development                 | 8131 kB | -- restored to new computer
 today-i-learned_development                 | 6785 kB |
